Slope;NDVI;Volume
40.313;0.740;4.160
40.680;0.741;2.922
14.837;0.332;0.000
8.904;0.734;0.000
23.281;0.616;1.682
10.655;0.639;1.854
12.656;0.497;0.395
2.988;0.191;0.000
1.387;0.628;0.132
32.786;0.758;5.046
26.575;0.540;0.417
65.349;0.703;0.087
27.248;0.743;0.075
19.755;0.736;0.906
38.350;0.739;3.404
28.919;0.762;3.123
20.694;0.706;0.990
4.707;0.125;0.000
17.089;0.729;0.758
17.089;0.710;1.029
8.372;0.710;1.208
9.056;0.705;1.581
50.295;0.248;0.000
11.942;0.646;3.818
11.726;0.741;3.239
22.844;0.551;0.296
23.603;0.765;4.039
74.035;0.712;4.682
20.166;0.583;2.088
7.194;0.610;0.000
27.659;0.778;0.518
24.908;0.630;0.398
21.862;0.590;0.000
21.174;0.726;1.543
2.092;0.764;0.391
6.015;0.709;1.002
11.993;0.767;0.388
12.303;0.645;0.478
6.337;0.471;1.634
4.669;0.713;1.718
3.186;0.755;1.154
11.386;0.717;0.546
9.690;0.731;0.461
10.954;0.747;0.441
17.159;0.642;0.876
13.189;0.291;0.000
23.801;0.592;0.769
46.571;0.716;1.099
35.974;0.665;1.011
13.528;0.577;0.000
7.735;0.267;0.000
30.696;0.806;3.991
29.533;0.776;4.209
25.148;0.747;5.203
12.137;0.736;0.155
